Ligand_ID	Receptor_ID	TF_ID	Pathway	pathway_ID	Ligand_Symbol	Receptor_Symbol	TF_Symbol
100506658	100506658	2626	hsa04530_3,hsa04530_5,R-HSA-74160_3,R-HSA-212436_3,R-HSA-73857_3	hsa04530,R-HSA-74160,R-HSA-212436,R-HSA-73857	OCLN	OCLN	GATA4
100506658	100506658	8531	hsa04530_2	hsa04530	OCLN	OCLN	YBX3
10344	1230	2309	hsa04062_5	hsa04062	CCL26	CCR1	FOXO3
10344	1230	3551	hsa04062_5	hsa04062	CCL26	CCR1	IKBKB
10344	1230	4790	hsa04062_7	hsa04062	CCL26	CCR1	NFKB1
10344	1230	4792	hsa04062_6	hsa04062	CCL26	CCR1	NFKBIA
10344	1230	4793	hsa04062_6	hsa04062	CCL26	CCR1	NFKBIB
10344	1230	5970	hsa04062_7	hsa04062	CCL26	CCR1	RELA
10344	1230	6772	hsa04062_2	hsa04062	CCL26	CCR1	STAT1
10344	1230	6773	hsa04062_2	hsa04062	CCL26	CCR1	STAT2
10344	1230	6774	hsa04062_2	hsa04062	CCL26	CCR1	STAT3
10344	1230	6777	hsa04062_2	hsa04062	CCL26	CCR1	STAT5B
10344	1232	2309	hsa04062_5	hsa04062	CCL26	CCR3	FOXO3
10344	1232	3551	hsa04062_5	hsa04062	CCL26	CCR3	IKBKB
10344	1232	4790	hsa04062_7	hsa04062	CCL26	CCR3	NFKB1
10344	1232	4792	hsa04062_6	hsa04062	CCL26	CCR3	NFKBIA
10344	1232	4793	hsa04062_6	hsa04062	CCL26	CCR3	NFKBIB
10344	1232	5970	hsa04062_7	hsa04062	CCL26	CCR3	RELA
10344	1232	6772	hsa04062_2	hsa04062	CCL26	CCR3	STAT1
10344	1232	6773	hsa04062_2	hsa04062	CCL26	CCR3	STAT2
10344	1232	6774	hsa04062_2	hsa04062	CCL26	CCR3	STAT3
10344	1232	6777	hsa04062_2	hsa04062	CCL26	CCR3	STAT5B
10344	1234	2309	hsa04062_5	hsa04062	CCL26	CCR5	FOXO3
10344	1234	3551	hsa04062_5	hsa04062	CCL26	CCR5	IKBKB
10344	1234	4790	hsa04062_7	hsa04062	CCL26	CCR5	NFKB1
10344	1234	4792	hsa04062_6	hsa04062	CCL26	CCR5	NFKBIA
10344	1234	4793	hsa04062_6	hsa04062	CCL26	CCR5	NFKBIB
10344	1234	5970	hsa04062_7	hsa04062	CCL26	CCR5	RELA
10344	1234	6772	hsa04062_2	hsa04062	CCL26	CCR5	STAT1
10344	1234	6773	hsa04062_2	hsa04062	CCL26	CCR5	STAT2
10344	1234	6774	hsa04062_2	hsa04062	CCL26	CCR5	STAT3
10344	1234	6777	hsa04062_2	hsa04062	CCL26	CCR5	STAT5B
10344	1524	2309	hsa04062_5	hsa04062	CCL26	CX3CR1	FOXO3
10344	1524	3551	hsa04062_5	hsa04062	CCL26	CX3CR1	IKBKB
10344	1524	4790	hsa04062_7	hsa04062	CCL26	CX3CR1	NFKB1
10344	1524	4792	hsa04062_6	hsa04062	CCL26	CX3CR1	NFKBIA
10344	1524	4793	hsa04062_6	hsa04062	CCL26	CX3CR1	NFKBIB
10344	1524	5970	hsa04062_7	hsa04062	CCL26	CX3CR1	RELA
10344	1524	6772	hsa04062_2	hsa04062	CCL26	CX3CR1	STAT1
10344	1524	6773	hsa04062_2	hsa04062	CCL26	CX3CR1	STAT2
10344	1524	6774	hsa04062_2	hsa04062	CCL26	CX3CR1	STAT3
10344	1524	6777	hsa04062_2	hsa04062	CCL26	CX3CR1	STAT5B
10344	729230	2309	hsa04062_5	hsa04062	CCL26	CCR2	FOXO3
10344	729230	3551	hsa04062_5	hsa04062	CCL26	CCR2	IKBKB
10344	729230	4790	hsa04062_7	hsa04062	CCL26	CCR2	NFKB1
10344	729230	4792	hsa04062_6	hsa04062	CCL26	CCR2	NFKBIA
10344	729230	4793	hsa04062_6	hsa04062	CCL26	CCR2	NFKBIB
10344	729230	5970	hsa04062_7	hsa04062	CCL26	CCR2	RELA
10344	729230	6772	hsa04062_2	hsa04062	CCL26	CCR2	STAT1
10344	729230	6773	hsa04062_2	hsa04062	CCL26	CCR2	STAT2
10344	729230	6774	hsa04062_2	hsa04062	CCL26	CCR2	STAT3
10344	729230	6777	hsa04062_2	hsa04062	CCL26	CCR2	STAT5B
10563	2826	2309	hsa04062_5	hsa04062	CXCL13	CCR10	FOXO3
10563	2826	3551	hsa04062_5	hsa04062	CXCL13	CCR10	IKBKB
10563	2826	4790	hsa04062_7	hsa04062	CXCL13	CCR10	NFKB1
10563	2826	4792	hsa04062_6	hsa04062	CXCL13	CCR10	NFKBIA
10563	2826	4793	hsa04062_6	hsa04062	CXCL13	CCR10	NFKBIB
10563	2826	5970	hsa04062_7	hsa04062	CXCL13	CCR10	RELA
10563	2826	6772	hsa04062_2	hsa04062	CXCL13	CCR10	STAT1
10563	2826	6773	hsa04062_2	hsa04062	CXCL13	CCR10	STAT2
10563	2826	6774	hsa04062_2	hsa04062	CXCL13	CCR10	STAT3
10563	2826	6777	hsa04062_2	hsa04062	CXCL13	CCR10	STAT5B
10563	2833	2309	hsa04062_5	hsa04062	CXCL13	CXCR3	FOXO3
10563	2833	3551	hsa04062_5	hsa04062	CXCL13	CXCR3	IKBKB
10563	2833	4790	hsa04062_7	hsa04062	CXCL13	CXCR3	NFKB1
10563	2833	4792	hsa04062_6	hsa04062	CXCL13	CXCR3	NFKBIA
10563	2833	4793	hsa04062_6	hsa04062	CXCL13	CXCR3	NFKBIB
10563	2833	5970	hsa04062_7	hsa04062	CXCL13	CXCR3	RELA
10563	2833	6772	hsa04062_2	hsa04062	CXCL13	CXCR3	STAT1
10563	2833	6773	hsa04062_2	hsa04062	CXCL13	CXCR3	STAT2
10563	2833	6774	hsa04062_2	hsa04062	CXCL13	CXCR3	STAT3
10563	2833	6777	hsa04062_2	hsa04062	CXCL13	CXCR3	STAT5B
10563	643	2309	hsa04062_5	hsa04062	CXCL13	CXCR5	FOXO3
10563	643	3551	hsa04062_5	hsa04062	CXCL13	CXCR5	IKBKB
10563	643	4790	hsa04062_7	hsa04062	CXCL13	CXCR5	NFKB1
10563	643	4792	hsa04062_6	hsa04062	CXCL13	CXCR5	NFKBIA
10563	643	4793	hsa04062_6	hsa04062	CXCL13	CXCR5	NFKBIB
10563	643	5970	hsa04062_7	hsa04062	CXCL13	CXCR5	RELA
10563	643	6772	hsa04062_2	hsa04062	CXCL13	CXCR5	STAT1
10563	643	6773	hsa04062_2	hsa04062	CXCL13	CXCR5	STAT2
10563	643	6774	hsa04062_2	hsa04062	CXCL13	CXCR5	STAT3
10563	643	6777	hsa04062_2	hsa04062	CXCL13	CXCR5	STAT5B
10673	115650	4791	hsa04064_4,R-HSA-1280215_2,R-HSA-168256_2,R-HSA-5668541_2	hsa04064,R-HSA-1280215,R-HSA-168256,R-HSA-5668541	TNFSF13B	TNFRSF13C	NFKB2
10683	4851	3280	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	DLL3	NOTCH1	HES1
10683	4851	3516	hsa04330_1	hsa04330	DLL3	NOTCH1	RBPJ
10683	4851	4609	hsa05224_2	hsa05224	DLL3	NOTCH1	MYC
10683	4851	4791	hsa05224_2	hsa05224	DLL3	NOTCH1	NFKB2
10683	4851	22938	hsa04330_2	hsa04330	DLL3	NOTCH1	SNW1
10683	4851	23462	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	DLL3	NOTCH1	HEY1
10683	4851	23493	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	DLL3	NOTCH1	HEY2
10683	4851	26508	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	DLL3	NOTCH1	HEYL
10683	4851	388585	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	DLL3	NOTCH1	HES5
10683	4853	3280	hsa04330_2,hsa05200_1,hsa05224_1	hsa04330,hsa05200,hsa05224	DLL3	NOTCH2	HES1
